"ent_mun","indicador","2015","2016"
"15093","analfabeta",4.25,NA
"05016","analfabeta",4.26,NA
"32029","analfabeta",4.27,NA
"05008","analfabeta",4.28,NA
"10020","analfabeta",4.3,NA
"14070","analfabeta",4.3,NA
"28024","analfabeta",4.3,NA
"06007","analfabeta",4.31,NA
"20033","analfabeta",4.31,NA
"21097","analfabeta",4.32,NA
"15068","analfabeta",4.34,NA
"01004","analfabeta",4.35,NA
"19035","analfabeta",4.35,NA
"26004","analfabeta",4.35,NA
"28040","analfabeta",4.35,NA
"29022","analfabeta",4.36,NA
"10016","analfabeta",4.37,NA
"08044","analfabeta",4.38,NA
"29015","analfabeta",4.39,NA
"10031","analfabeta",4.4,NA
"29057","analfabeta",4.4,NA
"29024","analfabeta",4.44,NA
"26017","analfabeta",4.45,NA
"26065","analfabeta",4.45,NA
"32052","analfabeta",4.45,NA
"08043","analfabeta",4.47,NA
"13013","analfabeta",4.47,NA
"05014","analfabeta",4.51,NA
"08003","analfabeta",4.51,NA
"21132","analfabeta",4.51,NA
"08036","analfabeta",4.52,NA
"29041","analfabeta",4.52,NA
"15031","analfabeta",4.54,NA
"19023","analfabeta",4.55,NA
"15122","analfabeta",4.56,NA
"19032","analfabeta",4.56,NA
"29060","analfabeta",4.56,NA
"32010","analfabeta",4.57,NA
"08039","analfabeta",4.58,NA
"19002","analfabeta",4.58,NA
"10022","analfabeta",4.6,NA
"14051","analfabeta",4.6,NA
"05026","analfabeta",4.62,NA
"26040","analfabeta",4.62,NA
"29051","analfabeta",4.63,NA
"08028","analfabeta",4.64,NA
"20294","analfabeta",4.64,NA
"26022","analfabeta",4.64,NA
"26064","analfabeta",4.65,NA
"29009","analfabeta",4.65,NA
"26052","analfabeta",4.66,NA
"27014","analfabeta",4.66,NA
"29035","analfabeta",4.66,NA
"05017","analfabeta",4.67,NA
"26044","analfabeta",4.67,NA
"32005","analfabeta",4.67,NA
"10032","analfabeta",4.68,NA
"29023","analfabeta",4.69,NA
"01007","analfabeta",4.7,NA
"05009","analfabeta",4.7,NA
"29006","analfabeta",4.7,NA
"20443","analfabeta",4.71,NA
"21079","analfabeta",4.71,NA
"21090","analfabeta",4.72,NA
"01011","analfabeta",4.74,NA
"10011","analfabeta",4.74,NA
"15072","analfabeta",4.74,NA
"29059","analfabeta",4.74,NA
"08053","analfabeta",4.75,NA
"13061","analfabeta",4.75,NA
"15006","analfabeta",4.75,NA
"20115","analfabeta",4.76,NA
"02001","analfabeta",4.77,NA
"19013","analfabeta",4.77,NA
"30039","analfabeta",4.77,NA
"29056","analfabeta",4.78,NA
"26057","analfabeta",4.79,NA
"14015","analfabeta",4.8,NA
"20483","analfabeta",4.8,NA
"28033","analfabeta",4.81,NA
"08067","analfabeta",4.86,NA
"10003","analfabeta",4.86,NA
"14058","analfabeta",4.86,NA
"08006","analfabeta",4.87,NA
"26008","analfabeta",4.87,NA
"32050","analfabeta",4.87,NA
"29011","analfabeta",4.88,NA
"14003","analfabeta",4.89,NA
"15101","analfabeta",4.89,NA
"20145","analfabeta",4.89,NA
"10036","analfabeta",4.9,NA
"14094","analfabeta",4.92,NA
"20342","analfabeta",4.95,NA
"26060","analfabeta",4.95,NA
"14110","analfabeta",4.96,NA
"04002","analfabeta",5.02,NA
"10028","analfabeta",5.02,NA
"29039","analfabeta",5.02,NA
"20196","analfabeta",5.03,NA
"20343","analfabeta",5.03,NA
"14116","analfabeta",5.04,NA
"21143","analfabeta",5.04,NA
"14063","analfabeta",5.05,NA
"26020","analfabeta",5.07,NA
"08023","analfabeta",5.08,NA
"15010","analfabeta",5.08,NA
"15051","analfabeta",5.08,NA
"32006","analfabeta",5.08,NA
"21171","analfabeta",5.09,NA
"08014","analfabeta",5.1,NA
"13021","analfabeta",5.1,NA
"17020","analfabeta",5.1,NA
"08061","analfabeta",5.11,NA
"11020","analfabeta",5.11,NA
"15023","analfabeta",5.11,NA
"25002","analfabeta",5.12,NA
"29048","analfabeta",5.12,NA
"14007","analfabeta",5.14,NA
"26005","analfabeta",5.14,NA
"32042","analfabeta",5.14,NA
"13070","analfabeta",5.15,NA
"15094","analfabeta",5.15,NA
"14037","analfabeta",5.16,NA
"20365","analfabeta",5.16,NA
"21074","analfabeta",5.16,NA
"31028","analfabeta",5.17,NA
"15046","analfabeta",5.18,NA
"05024","analfabeta",5.2,NA
"15043","analfabeta",5.2,NA
"11015","analfabeta",5.21,NA
"15084","analfabeta",5.22,NA
"29031","analfabeta",5.22,NA
"05029","analfabeta",5.23,NA
"20385","analfabeta",5.23,NA
"32020","analfabeta",5.23,NA
"10021","analfabeta",5.24,NA
"14006","analfabeta",5.24,NA
"08010","analfabeta",5.26,NA
"13063","analfabeta",5.26,NA
"32039","analfabeta",5.27,NA
"26033","analfabeta",5.28,NA
"30133","analfabeta",5.28,NA
"19028","analfabeta",5.29,NA
"06005","analfabeta",5.31,NA
"14077","analfabeta",5.31,NA
"15018","analfabeta",5.31,NA
"19022","analfabeta",5.32,NA
"30044","analfabeta",5.33,NA
"06003","analfabeta",5.34,NA
"28015","analfabeta",5.36,NA
"13072","analfabeta",5.38,NA
"21048","analfabeta",5.38,NA
"05007","analfabeta",5.39,NA
"13082","analfabeta",5.39,NA
"20403","analfabeta",5.41,NA
"22016","analfabeta",5.41,NA
"29040","analfabeta",5.42,NA
"26062","analfabeta",5.43,NA
"03001","analfabeta",5.44,NA
"15012","analfabeta",5.44,NA
"30068","analfabeta",5.44,NA
"11007","analfabeta",5.45,NA
"14025","analfabeta",5.45,NA
"14075","analfabeta",5.45,NA
"19020","analfabeta",5.45,NA
"07101","analfabeta",5.47,NA
"24020","analfabeta",5.47,NA
"04003","analfabeta",5.48,NA
"19040","analfabeta",5.48,NA
"10017","analfabeta",5.49,NA
"13074","analfabeta",5.51,NA
"32007","analfabeta",5.51,NA
"13050","analfabeta",5.52,NA
"14005","analfabeta",5.52,NA
"26050","analfabeta",5.52,NA
"30189","analfabeta",5.52,NA
"01002","analfabeta",5.54,NA
"08005","analfabeta",5.56,NA
"20083","analfabeta",5.56,NA
"10015","analfabeta",5.57,NA
"14083","analfabeta",5.57,NA
"32047","analfabeta",5.58,NA
"17031","analfabeta",5.6,NA
"19011","analfabeta",5.6,NA
"26071","analfabeta",5.6,NA
"10026","analfabeta",5.61,NA
"14107","analfabeta",5.62,NA
"14055","analfabeta",5.63,NA
"21151","analfabeta",5.63,NA
"08018","analfabeta",5.64,NA
"14009","analfabeta",5.66,NA
"28007","analfabeta",5.69,NA
"20079","analfabeta",5.7,NA
"20262","analfabeta",5.7,NA
"21034","analfabeta",5.7,NA
"21153","analfabeta",5.7,NA
"13003","analfabeta",5.71,NA
"15079","analfabeta",5.72,NA
"17032","analfabeta",5.72,NA
"29028","analfabeta",5.73,NA
"13075","analfabeta",5.74,NA
"15065","analfabeta",5.74,NA
"20224","analfabeta",5.76,NA
"01010","analfabeta",5.77,NA
"30016","analfabeta",5.77,NA
"05033","analfabeta",5.8,NA
"19003","analfabeta",5.8,NA
"25009","analfabeta",5.8,NA
"19016","analfabeta",5.81,NA
"14020","analfabeta",5.83,NA
"20102","analfabeta",5.83,NA
"08040","analfabeta",5.84,NA
"20383","analfabeta",5.84,NA
"13064","analfabeta",5.85,NA
"30065","analfabeta",5.85,NA
"03002","analfabeta",5.87,NA
"28021","analfabeta",5.87,NA
"13083","analfabeta",5.88,NA
"20487","analfabeta",5.88,NA
"20411","analfabeta",5.9,NA
"20499","analfabeta",5.9,NA
"01009","analfabeta",5.91,NA
"29018","analfabeta",5.92,NA
"05023","analfabeta",5.93,NA
"19050","analfabeta",5.94,NA
"08031","analfabeta",5.95,NA
"21181","analfabeta",5.95,NA
"30105","analfabeta",5.95,NA
"32024","analfabeta",5.95,NA
"14121","analfabeta",5.99,NA
"20062","analfabeta",5.99,NA
"13066","analfabeta",6,NA
"17006","analfabeta",6.04,NA
"10029","analfabeta",6.05,NA
"30034","analfabeta",6.06,NA
"28018","analfabeta",6.07,NA
"15061","analfabeta",6.08,NA
"21182","analfabeta",6.08,NA
"08035","analfabeta",6.09,NA
"14108","analfabeta",6.09,NA
"28034","analfabeta",6.1,NA
"31065","analfabeta",6.1,NA
"20339","analfabeta",6.11,NA
"17008","analfabeta",6.16,NA
"30013","analfabeta",6.16,NA
"19027","analfabeta",6.17,NA
"20122","analfabeta",6.17,NA
"28042","analfabeta",6.17,NA
"10013","analfabeta",6.18,NA
"14119","analfabeta",6.18,NA
"01003","analfabeta",6.19,NA
"14089","analfabeta",6.2,NA
"32048","analfabeta",6.2,NA
"32004","analfabeta",6.23,NA
"26012","analfabeta",6.24,NA
"11017","analfabeta",6.25,NA
"32055","analfabeta",6.25,NA
"08042","analfabeta",6.26,NA
"14054","analfabeta",6.26,NA
"14095","analfabeta",6.28,NA
"26026","analfabeta",6.28,NA
"28016","analfabeta",6.28,NA
"32008","analfabeta",6.28,NA
"16088","analfabeta",6.29,NA
"20341","analfabeta",6.29,NA
"25011","analfabeta",6.29,NA
"32014","analfabeta",6.3,NA
"08026","analfabeta",6.31,NA
"14052","analfabeta",6.31,NA
"15118","analfabeta",6.31,NA
"32030","analfabeta",6.32,NA
"32013","analfabeta",6.33,NA
"30026","analfabeta",6.34,NA
"32040","analfabeta",6.34,NA
"26072","analfabeta",6.35,NA
"10006","analfabeta",6.36,NA
"05004","analfabeta",6.37,NA
"14004","analfabeta",6.38,NA
"15115","analfabeta",6.38,NA
"20023","analfabeta",6.38,NA
"05013","analfabeta",6.39,NA
"29050","analfabeta",6.41,NA
"32051","analfabeta",6.41,NA
"21173","analfabeta",6.42,NA
"18006","analfabeta",6.43,NA
"15050","analfabeta",6.44,NA
"19015","analfabeta",6.44,NA
"20215","analfabeta",6.46,NA
"28020","analfabeta",6.48,NA
"24013","analfabeta",6.49,NA
"14050","analfabeta",6.5,NA
"20399","analfabeta",6.5,NA
"13041","analfabeta",6.51,NA
"18018","analfabeta",6.51,NA
"31051","analfabeta",6.52,NA
"14088","analfabeta",6.53,NA
"21038","analfabeta",6.53,NA
"28035","analfabeta",6.53,NA
"30191","analfabeta",6.53,NA
"14073","analfabeta",6.54,NA
"17029","analfabeta",6.54,NA
"19037","analfabeta",6.54,NA
"14093","analfabeta",6.55,NA
"26021","analfabeta",6.55,NA
"29013","analfabeta",6.56,NA
"29021","analfabeta",6.6,NA
"14111","analfabeta",6.61,NA
"19042","analfabeta",6.63,NA
"10023","analfabeta",6.64,NA
"16107","analfabeta",6.65,NA
"20404","analfabeta",6.65,NA
"14090","analfabeta",6.66,NA
"10025","analfabeta",6.68,NA
"14074","analfabeta",6.72,NA
"32023","analfabeta",6.72,NA
"16102","analfabeta",6.73,NA
"17012","analfabeta",6.73,NA
"21126","analfabeta",6.73,NA
"20243","analfabeta",6.74,NA
"17002","analfabeta",6.75,NA
"13022","analfabeta",6.76,NA
"20107","analfabeta",6.76,NA
"32037","analfabeta",6.78,NA
"15038","analfabeta",6.79,NA
"14046","analfabeta",6.81,NA
"15071","analfabeta",6.81,NA
"18002","analfabeta",6.81,NA
"13056","analfabeta",6.82,NA
"20536","analfabeta",6.82,NA
"28030","analfabeta",6.82,NA
"17027","analfabeta",6.84,NA
"21174","analfabeta",6.84,NA
"32045","analfabeta",6.87,NA
"16051","analfabeta",6.88,NA
"21015","analfabeta",6.89,NA
"13009","analfabeta",6.91,NA
"15015","analfabeta",6.91,NA
"25014","analfabeta",6.93,NA
"29047","analfabeta",6.93,NA
"05036","analfabeta",6.94,NA
"20078","analfabeta",6.94,NA
"32036","analfabeta",6.94,NA
"24009","analfabeta",6.95,NA
"30204","analfabeta",6.95,NA
"30040","analfabeta",6.96,NA
"31061","analfabeta",6.97,NA
"15016","analfabeta",6.98,NA
"17026","analfabeta",6.98,NA
"32025","analfabeta",6.98,NA
"13008","analfabeta",6.99,NA
"11025","analfabeta",7.02,NA
"14057","analfabeta",7.02,NA
"17016","analfabeta",7.02,NA
"13052","analfabeta",7.03,NA
"08022","analfabeta",7.04,NA
"20096","analfabeta",7.08,NA
"26061","analfabeta",7.09,NA
"28005","analfabeta",7.1,NA
"23004","analfabeta",7.11,NA
"30108","analfabeta",7.11,NA
"20087","analfabeta",7.12,NA
"13023","analfabeta",7.13,NA
"14022","analfabeta",7.13,NA
"32057","analfabeta",7.13,NA
"20150","analfabeta",7.14,NA
"16052","analfabeta",7.15,NA
"14041","analfabeta",7.16,NA
"14053","analfabeta",7.16,NA
"14024","analfabeta",7.17,NA
"15107","analfabeta",7.19,NA
"14114","analfabeta",7.2,NA
"13077","analfabeta",7.22,NA
"24058","analfabeta",7.23,NA
"06008","analfabeta",7.25,NA
"15045","analfabeta",7.27,NA
"18012","analfabeta",7.27,NA
"28013","analfabeta",7.27,NA
"18004","analfabeta",7.28,NA
"29058","analfabeta",7.28,NA
"31041","analfabeta",7.28,NA
"21211","analfabeta",7.29,NA
"29020","analfabeta",7.29,NA
"17028","analfabeta",7.32,NA
"15048","analfabeta",7.33,NA
"16069","analfabeta",7.35,NA
"11027","analfabeta",7.36,NA
"32031","analfabeta",7.36,NA
"32058","analfabeta",7.36,NA
"32049","analfabeta",7.37,NA
"19024","analfabeta",7.38,NA
"21156","analfabeta",7.38,NA
"27007","analfabeta",7.38,NA
"14084","analfabeta",7.39,NA
"32019","analfabeta",7.39,NA
"13067","analfabeta",7.4,NA
"15088","analfabeta",7.4,NA
"21019","analfabeta",7.4,NA
"21164","analfabeta",7.4,NA
"27002","analfabeta",7.41,NA
"11021","analfabeta",7.42,NA
"17030","analfabeta",7.42,NA
"15049","analfabeta",7.44,NA
"31105","analfabeta",7.44,NA
"14017","analfabeta",7.45,NA
"21134","analfabeta",7.46,NA
"32034","analfabeta",7.46,NA
"32046","analfabeta",7.46,NA
"25010","analfabeta",7.47,NA
"30038","analfabeta",7.48,NA
"13054","analfabeta",7.49,NA
"30048","analfabeta",7.49,NA
"29045","analfabeta",7.5,NA
"32002","analfabeta",7.51,NA
"20039","analfabeta",7.53,NA
"20054","analfabeta",7.53,NA
"30123","analfabeta",7.53,NA
"19030","analfabeta",7.54,NA
"29017","analfabeta",7.54,NA
"31093","analfabeta",7.54,NA
"29014","analfabeta",7.55,NA
"14047","analfabeta",7.57,NA
"32009","analfabeta",7.57,NA
"14124","analfabeta",7.58,NA
"20531","analfabeta",7.58,NA
"28036","analfabeta",7.59,NA
"26009","analfabeta",7.6,NA
"27010","analfabeta",7.6,NA
"14062","analfabeta",7.61,NA
"21144","analfabeta",7.63,NA
"27005","analfabeta",7.63,NA
"25018","analfabeta",7.64,NA
"17023","analfabeta",7.66,NA
"25004","analfabeta",7.66,NA
"29055","analfabeta",7.66,NA
"32053","analfabeta",7.67,NA
"12035","analfabeta",7.68,NA
"18015","analfabeta",7.68,NA
"21117","analfabeta",7.68,NA
"17018","analfabeta",7.69,NA
"05012","analfabeta",7.71,NA
"22017","analfabeta",7.71,NA
"10037","analfabeta",7.73,NA
"20250","analfabeta",7.73,NA
"20544","analfabeta",7.73,NA
"08015","analfabeta",7.74,NA
"12038","analfabeta",7.74,NA
"11041","analfabeta",7.76,NA
"27006","analfabeta",7.76,NA
"31013","analfabeta",7.76,NA
"18013","analfabeta",7.79,NA
"22012","analfabeta",7.79,NA
"20316","analfabeta",7.8,NA
"16070","analfabeta",7.81,NA
"22011","analfabeta",7.82,NA
"32018","analfabeta",7.82,NA
"24007","analfabeta",7.83,NA
"29012","analfabeta",7.83,NA
"31101","analfabeta",7.84,NA
"16058","analfabeta",7.85,NA
"29016","analfabeta",7.86,NA
"10035","analfabeta",7.87,NA
"28002","analfabeta",7.87,NA
"28043","analfabeta",7.87,NA
"30074","analfabeta",7.87,NA
"11011","analfabeta",7.9,NA
"11044","analfabeta",7.9,NA
"12029","analfabeta",7.91,NA
"14034","analfabeta",7.91,NA
"24008","analfabeta",7.92,NA
"21096","analfabeta",7.93,NA
"28023","analfabeta",7.93,NA
"32011","analfabeta",7.95,NA
"20519","analfabeta",7.96,NA
"30115","analfabeta",7.96,NA
"20281","analfabeta",7.97,NA
"20504","analfabeta",7.97,NA
"24025","analfabeta",7.97,NA
"14021","analfabeta",7.98,NA
"27012","analfabeta",7.98,NA
"20370","analfabeta",7.99,NA
"21190","analfabeta",8,NA
"13029","analfabeta",8.01,NA
"32035","analfabeta",8.01,NA
"12001","analfabeta",8.04,NA
"18001","analfabeta",8.04,NA
"21118","analfabeta",8.04,NA
"27009","analfabeta",8.04,NA
"05011","analfabeta",8.06,NA
"32044","analfabeta",8.06,NA
"17022","analfabeta",8.1,NA
"14091","analfabeta",8.12,NA
"21154","analfabeta",8.12,NA
"10027","analfabeta",8.14,NA
"11031","analfabeta",8.14,NA
"14018","analfabeta",8.14,NA
"32001","analfabeta",8.14,NA
"15036","analfabeta",8.15,NA
"20132","analfabeta",8.15,NA
"27003","analfabeta",8.15,NA
"14066","analfabeta",8.16,NA
"20553","analfabeta",8.17,NA
"29008","analfabeta",8.17,NA
"14118","analfabeta",8.18,NA
